1.470939999999999914e+00 1.045854630000000035e-01 2.004174209434671923e+02 1.191164313798681640e+01 1.885057778054803919e+02
1.472624574290483990e+00 6.159665871404798598e-02 2.204907859511219499e+02 1.318303481340317340e+01 2.073077511377187818e+02
1.474309148580968287e+00 5.335340954014252540e-02 2.422008984557476197e+02 1.459013106374804636e+01 2.276107673919995875e+02
1.475993722871452363e+00 7.307620169781117725e-02 2.656814767119581688e+02 1.614741256726559016e+01 2.495340641446925929e+02
1.477678297161936438e+00 7.269112210694946008e-02 2.910772074330662917e+02 1.787090324708490385e+01 2.732063041859813666e+02
1.479362871452420514e+00 8.876444845503550507e-02 3.185446523412118154e+02 1.977833398644547458e+01 2.987663183547662697e+02
1.481047445742904811e+00 7.887540063020268000e-02 3.482532283364695331e+02 2.188932343582827045e+01 3.263639049006412733e+02
1.482732020033388887e+00 7.776186293445751241e-02 3.803862669213707477e+02 2.422557759630798557e+01 3.561606893250628332e+02
1.484416594323872962e+00 8.763121769743439926e-02 4.151421588032661703e+02 2.681110999271524520e+01 3.883310488105508966e+02
1.486101168614357260e+00 9.383611142041040076e-02 4.527355898528848570e+02 2.967248437514388471e+01 4.230631054777409759e+02
1.487785742904841335e+00 1.006408546329636416e-01 4.933988748042069687e+02 3.283908200106836262e+01 4.605597928031385777e+02
1.489470317195325411e+00 1.081169581830950660e-01 5.373833952127079101e+02 3.634339564288146818e+01 5.010399995698264775e+02
1.491154891485809486e+00 1.128223954520862354e-01 5.849611482119398715e+02 4.022135252289992025e+01 5.447397956890398518e+02
1.492839465776293784e+00 1.259198935140401487e-01 6.364264124768944839e+02 4.451266838006472426e+01 5.919137440968298733e+02
1.494524040066777859e+00 1.430348324800598814e-01 6.920975374566079381e+02 4.926123479211025824e+01 6.428363026644975662e+02
1.496208614357261935e+00 1.405478008885360786e-01 7.523188612988633395e+02 5.451554167591250177e+01 6.978033196229508803e+02
1.497893188647746232e+00 1.424501315796840306e-01 8.174627618526311608e+02 6.032913651479271522e+01 7.571336253378384527e+02
1.499577762938230308e+00 1.417144998693209146e-01 8.879318435626922792e+02 6.676112124349356236e+01 8.211707223191988305e+02
1.501262337228714383e+00 1.529424652640568316e-01 9.641612607874867535e+02 7.387668676239933063e+01 8.902845740250874087e+02
1.502946911519198681e+00 1.625802359597402214e-01 1.046621174843160816e+03 8.174768362123148790e+01 9.648734912219292710e+02
1.504631485809682756e+00 1.874294600372036768e-01 1.135819337602165660e+03 9.045322533260365105e+01 1.045366112269562109e+03
1.506316060100166832e+00 2.070789747650441104e-01 1.232303788362522482e+03 1.000803178114144316e+02 1.132223470551107994e+03
1.508000634390650907e+00 2.079326949896209975e-01 1.336665642450225278e+03 1.107245042733670175e+02 1.225941138176858203e+03
1.509685208681135205e+00 2.243838476554898542e-01 1.449541938976836036e+03 1.224905091512095794e+02 1.327051429825626428e+03
1.511369782971619280e+00 2.487581876333512798e-01 1.571618500526332127e+03 1.354928566597623671e+02 1.436125643866569817e+03
1.513054357262103355e+00 2.712629721773223701e-01 1.703632738256609855e+03 1.498564288624521907e+02 1.553776309394157806e+03
1.514738931552587653e+00 2.936612228655595680e-01 1.846376310687860268e+03 1.657169135753737805e+02 1.680659397112486658e+03
1.516423505843071728e+00 3.125758260234979269e-01 2.000697511746275268e+03 1.832210730853320797e+02 1.817476438660943131e+03
1.518108080133555804e+00 3.252749056040166176e-01 2.167503221574323561e+03 2.025267391200625866e+02 1.964976482454261031e+03
1.519792654424039879e+00 3.530120762971602488e-01 2.347760200075137163e+03 2.238024062444539481e+02 2.123957793830683386e+03
1.521477228714524177e+00 3.784152924367951143e-01 2.542495435827744132e+03 2.472262531922865492e+02 2.295269182635457128e+03
1.523161803005008252e+00 4.103212655256884833e-01 2.752795179661648945e+03 2.729843679811772290e+02 2.479810811680471943e+03
1.524846377295492328e+00 4.360644825899525068e-01 2.979802191119545569e+03 3.012678868836369475e+02 2.678534304235908166e+03
1.526530951585976625e+00 4.615481991111113347e-01 3.224710606931400889e+03 3.322686795328273206e+02 2.892441927398573625e+03
1.528215525876460701e+00 4.969627198712116556e-01 3.488757705865595199e+03 3.661731251508840046e+02 3.122584580714711592e+03
1.529900100166944776e+00 5.398865310134925988e-01 3.773211701166074363e+03 4.031534349703249518e+02 3.370058266195749184e+03
1.531584674457429074e+00 5.826630538835251283e-01 4.079354555466162765e+03 4.433558974166245434e+02 3.635998658049537880e+03
1.533269248747913149e+00 6.244856783818802937e-01 4.408458711045677774e+03 4.868853805773992462e+02 3.921573330468278527e+03
1.534953823038397225e+00 6.704483318023194416e-01 4.761756605356685213e+03 5.337854615486197645e+02 4.227971143808065790e+03
1.536638397328881300e+00 7.132045172179215520e-01 5.140401965002848556e+03 5.840137250505404154e+02 4.556388239952309050e+03
1.538322971619365598e+00 7.668316559325559778e-01 5.545422232706120667e+03 6.374121666158230255e+02 4.908010066090298096e+03
1.540007545909849673e+00 8.198532420563218182e-01 5.977662193088647655e+03 6.936733473311171565e+02 5.283988845757531635e+03
1.541692120200333749e+00 8.756203618414944989e-01 6.437720036678766519e+03 7.523040725994356990e+02 5.685415964079330479e+03
1.543376694490818046e+00 9.376257686143484316e-01 6.925878806718712440e+03 8.125899546536154503e+02 6.113288852065098581e+03
1.545061268781302122e+00 1.000614565690522539e+00 7.442038361702541806e+03 8.735661948471555434e+02 6.568472166855386604e+03
1.546745843071786197e+00 1.063281882387403066e+00 7.985655390952366361e+03 9.340019950912403601e+02 7.051653395861126228e+03
